Brestskaya,Vitebskaya,Gomelskaya,Grodnenskaya,Minskaya,Mogilevskaya
Baranovichskiy,Beshenkovichskiy,Braginskiy,Berestovitskiy,Berezinskiy,Belynichskiy
Berozovskiy,Braslavskiy,Buda-Koshelevskiy,Volkovysskiy,Borisovskiy,Bobruyskiy
Brestskiy,Verkhnedvinskiy,Vetkovskiy,Voronovskiy,Vileyskiy,Bykhovskiy
Gantsevichskiy,Vitebskiy,Gomelskiy,Grodnenskiy,Volozhinskiy,Glusskiy
Drogichinskiy,Glubokskiy,Dobrushskiy,Dyatlovskiy,Dzerzhinskiy,Goretskiy
Zhabinkovskiy,Gorodokskiy,Yelskiy,Zelvenskiy,Kletskiy,Dribinskiy
Ivanovskiy,Dokshitskiy,Zhitkovichskiy,Ivyevskiy,Kopylskiy,Kirovskiy
Ivatsevichskiy,Dubrovenskiy,Zhlobinskiy,Korelichskiy,Krupskiy,Klimovichskiy
Kamenetskiy,Lepelskiy,Kalinkovichskiy,Lidskiy,Logoyskiy,Klichevskiy
Kobrinskiy,Lioznenskiy,Kormyanskiy,Mostovskiy,Lyubanskiy,Kostyukovichskiy
Luninetskiy,Miorskiy,Lelchitskiy,Novogrudskiy,Minskiy,Krasnopolskiy
Lyakhovichskiy,Orshanskiy,Loyevskiy,Ostrovetskiy,Molodechnenskiy,Krichevskiy
Maloritskiy,Polotskiy,Mozyrskiy,Oshmyanskiy,Myadelskiy,Kruglyanskiy
Pinskiy,Postavskiy,Narovlyanskiy,Svislochskiy,Nesvizhskiy,Mogilevskiy
Pruzhanskiy,Rossonskiy,Oktyabrskiy,Slonimskiy,Pukhovichskiy,Mstislavskiy
Stolinskiy,Sennenskiy,Petrikovskiy,Smorgonskiy,Slutskiy,Osipovichskiy
,Tolochinskiy,Rechitskiy,Shchuchinskiy,Smolevichskiy,Slavgorodskiy
,Ushachskiy,Rogachevskiy,,Soligorskiy,Khotimskiy
,Chashnikskiy,Svetlogorskiy,,Starodorozhskiy,Chausskiy
,Sharkovshchinskiy,Khoynikskiy,,Stolbtsovskiy,Cherikovskiy
,Shumilinskiy,Checherskiy,,Uzdenskiy,Shklovskiy
,,,,Chervenskiy,
